field,nonempty,total_rows,coverage_pct,unique_nonempty,predominant_type,avg_len_nonempty,example_value,KEEP_candidate
instStructAddress_s,10,10,100.0,10,list,455.3,"[""4 rue Blaise Pascal - CS 90032 - 67081 Strasbourg cedex"", ""5 boulevard Descartes - Champs-sur-Marne - 77454 Marne-la-Vallée Cedex 2"", ""61 avenue du Général de Gaulle - 94010 Créteil cedex""]",YES
instStructCountry_s,10,10,100.0,9,list,34.8,"[""fr"", ""fr"", ""fr""]",YES
instStructIdName_fs,10,10,100.0,10,list,531.9,"[""199013_FacetSep_Université de Strasbourg"", ""301243_FacetSep_Université Paris-Est Marne-la-Vallée"", ""420786_FacetSep_Université Paris-Est Créteil Val-de-Marne - Paris 12""]",YES
instStructId_i,10,10,100.0,10,list,69.4,"[199013, 301243, 420786]",YES
instStructIdrefIdExtUrl_s,10,10,100.0,9,list,193.2,"[""https://www.idref.fr/131056549"", ""https://www.idref.fr/030820499"", ""https://www.idref.fr/028021037""]",YES
instStructIdrefIdExt_s,10,10,100.0,9,list,65.1,"[""131056549"", ""030820499"", ""028021037""]",YES
instStructIsChildOf_fs,10,10,100.0,5,scalar,114.5,,YES
instStructIsParentOf_fs,10,10,100.0,10,list,738.4,"[""199013_JoinSep_I_AlphaSep_93707_FacetSep_Institut de Recherche Mathématique Avancée"", ""301243_JoinSep_L_AlphaSep_29_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""420786_JoinSep_L_AlphaSep_29_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées""]",YES
instStructIsniIdExtUrl_s,10,10,100.0,7,list,181.0,"[""http://isni.org/isni/0000000115124813"", ""http://isni.org/isni/0000000121497878""]",YES
instStructIsniIdExt_s,10,10,100.0,7,list,84.4,"[""0000000115124813"", ""0000000121497878""]",YES
instStructNameId_fs,10,10,100.0,10,list,633.1,"[""U_AlphaSep_Université de Strasbourg_FacetSep_199013"", ""U_AlphaSep_Université Paris-Est Marne-la-Vallée_FacetSep_301243"", ""U_AlphaSep_Université Paris-Est Créteil Val-de-Marne - Paris 12_FacetSep_420786""]",YES
instStructName_fs,10,10,100.0,10,list,488.1,"[""U_AlphaSep_Université de Strasbourg"", ""U_AlphaSep_Université Paris-Est Marne-la-Vallée"", ""U_AlphaSep_Université Paris-Est Créteil Val-de-Marne - Paris 12""]",YES
instStructName_s,10,10,100.0,10,list,386.9,"[""Université de Strasbourg"", ""Université Paris-Est Marne-la-Vallée"", ""Université Paris-Est Créteil Val-de-Marne - Paris 12""]",YES
instStructRorIdExtUrl_s,10,10,100.0,10,list,342.0,"[""https://ror.org/https://ror.org/00pg6eq24"", ""https://ror.org/https://ror.org/02aqt9c37"", ""https://ror.org/https://ror.org/05ggc9x40""]",YES
instStructRorIdExt_s,10,10,100.0,10,list,214.0,"[""https://ror.org/00pg6eq24"", ""https://ror.org/02aqt9c37"", ""https://ror.org/05ggc9x40""]",YES
instStructType_s,10,10,100.0,8,list,117.6,"[""institution"", ""institution"", ""institution""]",YES
instStructValid_s,10,10,100.0,10,list,56.8,"[""VALID"", ""OLD"", ""VALID""]",YES
instStructWikidataIdExtUrl_s,10,10,100.0,4,scalar,53.2,,YES
instStructWikidataIdExt_s,10,10,100.0,4,scalar,14.2,,YES
instance_s,10,10,100.0,4,scalar,4.1,hal,YES
invitedCommunication_s,10,10,100.0,2,scalar,2.2,,YES
issue_s,10,10,100.0,3,scalar,2.4,"[""1""]",YES
journalDate_s,10,10,100.0,6,scalar,11.0,2020-10-22 00:34:15,YES
journalDoiRoot_s,10,10,100.0,4,scalar,8.5,,YES
journalEissn_s,10,10,100.0,4,scalar,4.8,1469-4417,YES
journalIdTitle_fs,10,10,100.0,6,scalar,30.1,12974_FacetSep_Ergodic Theory and Dynamical Systems,YES
journalId_i,10,10,100.0,6,scalar,4.9,12974.0,YES
journalIssn_s,10,10,100.0,6,scalar,6.0,0143-3857,YES
journalPublisher_s,10,10,100.0,3,scalar,7.9,Cambridge University Press (CUP),YES
journalSherpaColor_s,10,10,100.0,2,scalar,4.0,green,YES
journalSherpaCondition_s,10,10,100.0,4,scalar,344.6,"Author's Pre-print on author's personal website, departmental website, social media websites, institutional repository, non-commercial subject-based repositories, such as PubMed Central, Europe PMC or arXiv][Author's post-print on author's personal website on acceptance of publication][Author's post-print on departmental website, institutional repository, non-commercial subject-based repositories, such as PubMed Central, Europe PMC or arXiv, after a 6 months embargo][Publisher's version/PDF cannot be used][Published abstract may be deposited][Pre-print to record acceptance for publication][Must link to publisher version or journal website][Authors may choose to use a Creative Commons Attribution Non-Commercial No Derivatives License][Publisher last reviewed on 07/10/2014",YES
journalSherpaDate_s,10,10,100.0,5,scalar,6.5,2020-10-22,YES
journalSherpaPostPrint_s,10,10,100.0,2,scalar,3.0,can,YES
journalSherpaPrePrint_s,10,10,100.0,2,scalar,3.0,can,YES
journalTitleAbbr_s,10,10,100.0,2,scalar,4.2,,YES
journalTitleId_fs,10,10,100.0,6,scalar,30.1,Ergodic Theory and Dynamical Systems_FacetSep_12974,YES
